item,session,legacy_value,legacy_definition,corrected_value,corrected_definition,difference_reason,coverage
cold_ready_lateness_us p50 → cold_pub_lateness_us p50,F1_LONG_P1 graph 26,0.0,CPU 게시 지연 (이름이 GPU 준비를 시사),0.0,"cohort 한정, 이름 정정",cohort,23760
late share (cold later than hot),S1_P1_PROBE128 graph 2,0.8958543346774194,분모 = 유효 행 전체 (layer0·empty 포함),0.91,분모 = cold_present_nonempty; thr 5 µs: 0.907,cohort 분리,15598
cold_ready_lateness_us p50 → cold_pub_lateness_us p50,S1_P1_PROBE128 graph 2,324.5,CPU 게시 지연 (이름이 GPU 준비를 시사),330.5,"cohort 한정, 이름 정정",cohort,15598
late share (cold later than hot),S1_P1_PROBE128 graph 32,0.013860887096774193,분모 = 유효 행 전체 (layer0·empty 포함),0.042,분모 = cold_present_nonempty; thr 5 µs: 0.039,cohort 분리,2505
cold_ready_lateness_us p50 → cold_pub_lateness_us p50,S1_P1_PROBE128 graph 32,0.0,CPU 게시 지연 (이름이 GPU 준비를 시사),0.0,"cohort 한정, 이름 정정",cohort,2505
late share (cold later than hot),P1_r1 graph 2,0.8850176411290323,분모 = 유효 행 전체 (layer0·empty 포함),0.898,분모 = cold_present_nonempty; thr 5 µs: 0.894,cohort 분리,15597
cold_ready_lateness_us p50 → cold_pub_lateness_us p50,P1_r1 graph 2,302.25,CPU 게시 지연 (이름이 GPU 준비를 시사),307.75,"cohort 한정, 이름 정정",cohort,15597
late share (cold later than hot),P1_r1 graph 32,0.006048387096774193,분모 = 유효 행 전체 (layer0·empty 포함),0.018,분모 = cold_present_nonempty; thr 5 µs: 0.017,cohort 분리,2293
cold_ready_lateness_us p50 → cold_pub_lateness_us p50,P1_r1 graph 32,0.0,CPU 게시 지연 (이름이 GPU 준비를 시사),0.0,"cohort 한정, 이름 정정",cohort,2293
late share (cold later than hot),P1_r2 graph 2,0.8843876008064516,분모 = 유효 행 전체 (layer0·empty 포함),0.897,분모 = cold_present_nonempty; thr 5 µs: 0.893,cohort 분리,15599
cold_ready_lateness_us p50 → cold_pub_lateness_us p50,P1_r2 graph 2,307.0,CPU 게시 지연 (이름이 GPU 준비를 시사),312.5,"cohort 한정, 이름 정정",cohort,15599
late share (cold later than hot),P1_r2 graph 32,0.007686491935483871,분모 = 유효 행 전체 (layer0·empty 포함),0.02,분모 = cold_present_nonempty; thr 5 µs: 0.018,cohort 분리,2555
cold_ready_lateness_us p50 → cold_pub_lateness_us p50,P1_r2 graph 32,0.0,CPU 게시 지연 (이름이 GPU 준비를 시사),0.0,"cohort 한정, 이름 정정",cohort,2555
late share (cold later than hot),P1_r3 graph 2,0.8956653225806451,분모 = 유효 행 전체 (layer0·empty 포함),0.909,분모 = cold_present_nonempty; thr 5 µs: 0.906,cohort 분리,15601
cold_ready_lateness_us p50 → cold_pub_lateness_us p50,P1_r3 graph 2,328.5,CPU 게시 지연 (이름이 GPU 준비를 시사),334.0,"cohort 한정, 이름 정정",cohort,15601
late share (cold later than hot),P1_r3 graph 32,0.004158266129032258,분모 = 유효 행 전체 (layer0·empty 포함),0.014,분모 = cold_present_nonempty; thr 5 µs: 0.012,cohort 분리,2268
cold_ready_lateness_us p50 → cold_pub_lateness_us p50,P1_r3 graph 32,0.0,CPU 게시 지연 (이름이 GPU 준비를 시사),0.0,"cohort 한정, 이름 정정",cohort,2268
